"id","name","severity","state","version","createdDate","modifiedUserId","lastUpdated","isDeleted","alertType","entityId","customerId","siteId","stationId","attributes"
"f9d9719f-094d-4537-83a8-bc381eaba157","deviceDisconnection Alert for Comp 5 Power","40","activated",3,"2022-08-10 06:49:13.483801","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:24:16.39982",False,"deviceDisconnection","e25a892a-f307-4704-bd9d-dd19680dd22c","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"28041ccb-20a6-45a0-808b-8dbd4ba67ecc","deviceDisconnection Alert for Comp 6 Power","40","activated",3,"2022-08-10 06:49:13.573209","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:24:02.492131",False,"deviceDisconnection","9bad4f39-feb6-4af0-8b85-3fdad9c6f388","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"d6bd1318-28f2-49c8-91c5-31b80f677388","deviceDisconnection Alert for Comp 8 Power","40","activated",3,"2022-08-10 06:49:14.172859","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:24:10.981572",False,"deviceDisconnection","d593c646-0821-494b-99d5-1fb0724f3df2","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"3a4f5089-bee3-4831-b872-1f3464c525fa","deviceDisconnection Alert for #2 - Compair L160","40","activated",3,"2022-08-10 06:49:11.433005","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:25:39.002573",False,"deviceDisconnection","2c4a756e-4030-45ee-a075-2c3c39af74e1","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"6d0d8895-807d-424c-8299-5ef3b0d68884","deviceDisconnection Alert for Comp 9 Power","40","activated",3,"2022-08-10 06:49:14.25916","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:51.510406",False,"deviceDisconnection","583be0c8-fdc3-4b11-b217-e1446a1bd07d","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"2a0c4c63-5724-4294-a468-adfa0fd82063","deviceDisconnection Alert for New Ink Valve 2","40","activated",3,"2022-08-10 06:49:15.666974","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:25.833053",False,"deviceDisconnection","7d777a45-c518-41c4-a548-104381f56eba","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"aba7a531-5963-4960-b31d-70cca158388d","deviceDisconnection Alert for New ink dewpoint 2","40","activated",3,"2022-08-10 06:49:15.325038","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:34.454565",False,"deviceDisconnection","b7f940ce-767f-498e-b371-08fc9ded0c0f","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"a0aede2e-1981-4dd8-aff1-bbb9a88d9ce5","deviceDisconnection Alert for New Ink Valve 1","40","activated",3,"2022-08-10 06:49:15.65034","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:39.702677",False,"deviceDisconnection","f75b2e8e-d36e-465b-ade8-be87d0501f9d","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"0727bb8c-5333-479a-9732-8848014487f7","deviceDisconnection Alert for Comp 5 Flow","40","activated",3,"2022-08-10 06:49:14.560286","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:57.810838",False,"deviceDisconnection","88229977-dc3b-468c-847e-093b2de31f03","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"3eec5c4e-cb20-40dd-bc76-e1f18ac8ffac","deviceDisconnection Alert for Old ink dewpoint","40","activated",3,"2022-08-10 06:49:15.436834","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:22:56.580651",False,"deviceDisconnection","df899ead-7649-44e9-b6d5-b8c2b6601cb0","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"123135ed-440f-49cb-a952-76c6eec487bf","deviceDisconnection Alert for Old Ink Valve","40","activated",3,"2022-08-10 06:49:15.717192","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:00.727977",False,"deviceDisconnection","47bc4944-4bc0-4930-9b78-3f62becea365","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"be86a601-1bfe-4adb-af5e-a41f6bbb9b94","deviceDisconnection Alert for Systems dewpoint","40","activated",3,"2022-08-10 06:49:15.451884","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:02.730413",False,"deviceDisconnection","ffcab4fa-f6f1-44ab-8ffc-e5fa2c952c63","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"239a94a3-be59-4922-8524-17e3a50d4161","deviceDisconnection Alert for System flow","40","activated",3,"2022-08-10 06:49:16.39246","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:23:14.953423",False,"deviceDisconnection","865d2c62-9c38-466c-a2b8-c0bce0f63ef6","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"694c9952-8378-45f4-a035-f4f3d5247e21","deviceDisconnection Alert for Comp 3 Flow","40","activated",3,"2022-08-10 06:49:14.473456","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:24:27.260387",False,"deviceDisconnection","a940fc19-c0df-46e4-b516-a98aa8aa40c0","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
"1dd1f336-0019-4fa8-8350-a3f55fdb2606","deviceDisconnection Alert for Comp 2 Flow","40","activated",3,"2022-08-10 06:49:14.392445","5f21bc50-45af-47b4-99ba-122b5118d6b5","2022-10-24 08:24:35.403045",False,"deviceDisconnection","58e8d98d-1113-41b9-a800-22be84a8c09f","a634dfb1-545c-44a4-9082-be9ecc3b55db","8c20de48-9cfa-4953-9c2e-3a3f817555ba","eb98f226-3101-44db-8f7b-edf8febd0862",NULL
